Converged at iteration 1, L1 1.93697e-06, Linf 0.000267986, total time[s] 1.90625
Converged at iteration 1, L1 1.13097e-06, Linf 0.000126845, total time[s] 1.85938
Converged at iteration 1, L1 1.10079e-06, Linf 0.000146986, total time[s] 1.82812
Converged at iteration 1, L1 2.09571e-06, Linf 0.000304255, total time[s] 1.78125
Converged at iteration 1, L1 1.93697e-06, Linf 0.000267986, total time[s] 1.875
Converged at iteration 1, L1 1.13097e-06, Linf 0.000126845, total time[s] 1.85938
Converged at iteration 1, L1 1.10079e-06, Linf 0.000146986, total time[s] 1.82812
Converged at iteration 1, L1 2.09571e-06, Linf 0.000304255, total time[s] 1.76562
Converged at iteration 1, L1 1.13097e-06, Linf 0.000126845, total time[s] 1.92188
Converged at iteration 1, L1 1.93697e-06, Linf 0.000267986, total time[s] 1.95312
Converged at iteration 1, L1 2.09571e-06, Linf 0.000304255, total time[s] 1.8125
Converged at iteration 1, L1 1.10079e-06, Linf 0.000146986, total time[s] 1.84375
Converged at iteration 1, L1 1.13097e-06, Linf 0.000126845, total time[s] 1.92188
Converged at iteration 1, L1 1.93697e-06, Linf 0.000267986, total time[s] 2.01562
Converged at iteration 1, L1 2.09571e-06, Linf 0.000304255, total time[s] 1.85938
Converged at iteration 1, L1 1.10079e-06, Linf 0.000146986, total time[s] 1.96875
Converged at iteration 2, L1 5.22219e-06, Linf 0.00040278, total time[s] 2.71875
Converged at iteration 2, L1 2.42915e-06, Linf 0.000141079, total time[s] 2.70312
Converged at iteration 2, L1 4.45006e-06, Linf 0.000468042, total time[s] 2.71875
Converged at iteration 2, L1 1.8982e-06, Linf 0.00012922, total time[s] 2.75
Converged at iteration 2, L1 5.22219e-06, Linf 0.00040278, total time[s] 2.76562
Converged at iteration 2, L1 2.42915e-06, Linf 0.000141079, total time[s] 2.71875
Converged at iteration 2, L1 1.6075e-06, Linf 0.000110981, total time[s] 2.6875
Converged at iteration 2, L1 4.45006e-06, Linf 0.000468042, total time[s] 2.6875
Converged at iteration 2, L1 2.42915e-06, Linf 0.000141079, total time[s] 2.78125
Converged at iteration 2, L1 5.22219e-06, Linf 0.00040278, total time[s] 2.8125
Converged at iteration 2, L1 4.45006e-06, Linf 0.000468042, total time[s] 2.73438
Converged at iteration 2, L1 1.8982e-06, Linf 0.00012922, total time[s] 2.85938
Converged at iteration 2, L1 5.22219e-06, Linf 0.00040278, total time[s] 2.85938
Converged at iteration 2, L1 1.6075e-06, Linf 0.000110981, total time[s] 2.78125
Converged at iteration 2, L1 2.42915e-06, Linf 0.000141079, total time[s] 2.78125
Converged at iteration 2, L1 4.45006e-06, Linf 0.000468042, total time[s] 2.79688
