 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
    1,   relocation,            36017.5,            36017.5,             617359,            3037.39,                  0,       0.013570/0.559042,       0.150097/1.853744,      -0.000000/0.441352,       0.057689/2.630571,                 0.0/0.0,
    2,   relocation,            34334.4,            34334.4,             589336,            2894.56,                  0,       0.012934/0.545831,       0.143062/1.810192,       0.000000/0.430851,       0.056799/2.570166,                 0.0/0.0,
    3,   relocation,            32723.4,            32723.4,             562497,             2754.4,                  0,       0.012408/0.532877,       0.137248/1.767403,      -0.000000/0.420289,       0.055748/2.510955,                 0.0/0.0,
    4,   relocation,              31161,              31161,             536446,            2620.38,                  0,       0.011893/0.520005,       0.131552/1.724877,      -0.000000/0.409937,       0.054630/2.452116,                 0.0/0.0,
    5,   relocation,            29646.9,            29646.9,             511187,            2492.04,                  0,       0.011393/0.507219,       0.126016/1.682624,      -0.000000/0.399772,       0.053523/2.393686,                 0.0/0.0,
    6,   relocation,            28181.6,            28181.6,             486716,            2369.22,                  0,       0.010908/0.494530,       0.120654/1.640679,       0.000000/0.389796,       0.052424/2.335683,                 0.0/0.0,
    7,   relocation,            26763.8,            26763.8,             463015,            2251.64,                  0,       0.010438/0.481934,       0.115454/1.599031,      -0.000000/0.380001,       0.051381/2.278099,                 0.0/0.0,
    8,   relocation,            25392.7,            25392.7,             440077,             2139.3,                  0,       0.009987/0.469430,       0.110461/1.557675,       0.000000/0.370400,       0.050303/2.220949,                 0.0/0.0,
    9,   relocation,              24069,              24069,             417912,             2032.1,                  0,       0.009542/0.457035,       0.105539/1.516674,       0.000000/0.361001,       0.049156/2.164293,                 0.0/0.0,
   10,   relocation,            22792.3,            22792.3,             396496,            1929.75,                  0,       0.009113/0.444752,       0.100796/1.476032,       0.000000/0.351791,       0.048213/2.108103,                 0.0/0.0,
   11,   relocation,            22680.7,            22680.7,            46643.7,            1917.61,                  0,       0.009096/0.443662,       0.100607/1.472410,       0.000000/0.350684,      -0.001517/0.723238,                 0.0/0.0,
   12,   relocation,            22669.5,            22669.5,            5393.49,            1916.79,                  0,       0.009079/0.443552,       0.100424/1.472056,       0.000000/0.350609,      -0.000481/0.245935,                 0.0/0.0,
