 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
    0, model update,            36017.5,            36017.5,            3037.39,             617359,                  0,       0.013570/0.559042,       0.150097/1.853744,      -0.000000/0.441352,       0.057689/2.630571,                 0.0/0.0,               0.02,
    1, model update,            34334.4,            34334.4,            2894.56,             589336,                  0,       0.012934/0.545831,       0.143062/1.810192,       0.000000/0.430851,       0.056799/2.570166,                 0.0/0.0,               0.02,
    2, model update,            32723.4,            32723.4,             2754.4,             562497,                  0,       0.012408/0.532877,       0.137248/1.767403,      -0.000000/0.420289,       0.055748/2.510955,                 0.0/0.0,               0.02,
    3, model update,              31161,              31161,            2620.38,             536446,                  0,       0.011893/0.520005,       0.131552/1.724877,      -0.000000/0.409937,       0.054630/2.452116,                 0.0/0.0,               0.02,
    4, model update,            29646.9,            29646.9,            2492.04,             511187,                  0,       0.011393/0.507219,       0.126016/1.682624,      -0.000000/0.399772,       0.053523/2.393686,                 0.0/0.0,               0.02,
    5, model update,            28181.6,            28181.6,            2369.22,             486716,                  0,       0.010908/0.494530,       0.120654/1.640679,       0.000000/0.389796,       0.052424/2.335683,                 0.0/0.0,               0.02,
    6, model update,            26763.8,            26763.8,            2251.64,             463015,                  0,       0.010438/0.481934,       0.115454/1.599031,      -0.000000/0.380001,       0.051381/2.278099,                 0.0/0.0,               0.02,
    7, model update,            25392.7,            25392.7,             2139.3,             440077,                  0,       0.009987/0.469430,       0.110461/1.557675,       0.000000/0.370400,       0.050303/2.220949,                 0.0/0.0,               0.02,
    8, model update,              24069,              24069,             2032.1,             417912,                  0,       0.009542/0.457035,       0.105539/1.516674,       0.000000/0.361001,       0.049156/2.164293,                 0.0/0.0,               0.02,
    9, model update,            22792.3,            22792.3,            1929.75,             396496,                  0,       0.009113/0.444752,       0.100796/1.476032,       0.000000/0.351791,       0.048213/2.108103,                 0.0/0.0,               0.02,
   10, model update,            22680.7,            22680.7,            1917.61,            46643.7,                  0,       0.009096/0.443662,       0.100607/1.472410,       0.000000/0.350684,      -0.001517/0.723238,                 0.0/0.0,               0.02,
   11, model update,            22669.5,            22669.5,            1916.79,            5393.49,                  0,       0.009079/0.443552,       0.100424/1.472056,       0.000000/0.350609,      -0.000481/0.245935,                 0.0/0.0,               0.02,
   12, model update,            22658.6,            22658.6,            1915.98,            5257.33,                  0,       0.009063/0.443447,       0.100244/1.471716,       0.000000/0.350534,      -0.000499/0.242811,                 0.0/0.0,               0.02,
   13, model update,            22648.2,            22648.2,            1915.17,            5125.93,                  0,       0.009047/0.443345,       0.100068/1.471387,       0.000000/0.350461,      -0.000515/0.239757,                 0.0/0.0,               0.02,
   14, model update,            22638.2,            22638.2,            1914.37,            4999.39,                  0,       0.009031/0.443247,       0.099897/1.471071,       0.000000/0.350387,      -0.000531/0.236779,                 0.0/0.0,               0.02,
   15, model update,            22628.5,            22628.5,            1913.57,            4877.43,                  0,       0.009016/0.443153,       0.099729/1.470768,       0.000000/0.350314,      -0.000546/0.233873,                 0.0/0.0,               0.02,
   16, model update,            22619.3,            22619.3,            1912.78,             4760.1,                  0,       0.009002/0.443062,       0.099566/1.470476,       0.000000/0.350242,      -0.000560/0.231043,                 0.0/0.0,               0.02,
   17, model update,            22610.4,            22610.4,               1912,            4647.26,                  0,       0.008987/0.442975,       0.099408/1.470196,       0.000000/0.350170,      -0.000572/0.228288,                 0.0/0.0,               0.02,
   18, model update,            22601.8,            22601.8,            1911.21,            4538.47,                  0,       0.008974/0.442892,       0.099256/1.469927,       0.000000/0.350097,      -0.000581/0.225600,                 0.0/0.0,               0.02,
   19, model update,            22593.5,            22593.5,            1910.38,             4432.8,                  0,       0.008961/0.442811,       0.099113/1.469665,       0.000000/0.350022,      -0.000585/0.222958,                 0.0/0.0,               0.02,
