 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
    0, model update,              36209,              36209,            3325.21,             619156,                  0,       0.062047/2.390616,       0.169483/1.857031,       0.000000/0.461790,       0.060351/2.634341,                 0.0/0.0,               0.02,
    1, model update,            35452.8,            35452.8,            3686.37,             609906,                  0,       0.050484/2.373310,       0.060166/1.844192,      -0.000000/0.486222,       0.058181/2.614627,                 0.0/0.0,               0.02,
    2, model update,            34942.8,            34942.8,            4250.44,             601186,                  0,       0.041104/2.357588,      -0.019790/1.831747,       0.000000/0.522098,       0.055403/2.595921,                 0.0/0.0,               0.02,
    3, model update,              34499,              34499,            4615.13,             594151,                  0,       0.037814/2.344507,      -0.031537/1.819912,      -0.000000/0.544036,       0.052525/2.580740,                 0.0/0.0,               0.02,
    4, model update,            34129.4,            34129.4,            4740.26,             588781,                  0,       0.036053/2.334117,      -0.036118/1.810047,       0.000000/0.551361,       0.050785/2.569082,                 0.0/0.0,               0.02,
    5, model update,            33775.6,            33775.6,            4806.23,             583695,                  0,       0.034450/2.324124,      -0.042727/1.800493,       0.000000/0.555184,       0.049486/2.557982,                 0.0/0.0,               0.02,
    6, model update,            33427.2,            33427.2,            4829.83,             578914,                  0,       0.033771/2.314579,      -0.041150/1.791215,       0.000000/0.556546,       0.048425/2.547502,                 0.0/0.0,               0.02,
    7, model update,            33087.2,            33087.2,            4913.25,             573865,                  0,       0.032162/2.304628,      -0.050445/1.781837,       0.000000/0.561332,       0.047432/2.536381,                 0.0/0.0,               0.02,
    8, model update,            32749.2,            32749.2,            4859.05,             569793,                  0,       0.033406/2.296186,      -0.030011/1.773169,       0.000000/0.558227,       0.046653/2.527378,                 0.0/0.0,               0.02,
    9, model update,            32470.4,            32470.4,             5151.5,             563912,                  0,       0.027154/2.285150,      -0.089654/1.763581,       0.000000/0.574781,       0.045542/2.514319,                 0.0/0.0,               0.02,
   10, model update,            32339.3,            32339.3,            4715.61,             565035,                  0,       0.038237/2.286048,       0.032280/1.761996,      -0.000000/0.549926,       0.045619/2.516820,                 0.0/0.0,               0.02,
   11, model update,            32177.5,            32177.5,            5140.67,             559952,                  0,       0.026390/2.277045,      -0.092020/1.755467,      -0.000000/0.574176,       0.044832/2.505485,                 0.0/0.0,               0.02,
   12, model update,            32069.6,            32069.6,            4766.95,             561198,                  0,       0.037459/2.278347,       0.030438/1.754663,       0.000000/0.552911,       0.044829/2.508272,                 0.0/0.0,               0.02,
   13, model update,            31922.1,            31922.1,            5129.31,             556574,                  0,       0.026007/2.270090,      -0.091095/1.748514,       0.000000/0.573541,       0.044229/2.497924,                 0.0/0.0,               0.02,
   14, model update,            31829.5,            31829.5,            4799.64,             557819,                  0,       0.036805/2.271513,       0.029033/1.748103,      -0.000000/0.554804,       0.044148/2.500719,                 0.0/0.0,               0.02,
   15, model update,            31692.9,            31692.9,            5116.01,             553557,                  0,       0.025746/2.263851,      -0.089523/1.742290,      -0.000000/0.572797,       0.043709/2.491152,                 0.0/0.0,               0.02,
   16, model update,            31613.9,            31613.9,            4823.45,             554796,                  0,       0.036405/2.265367,       0.029605/1.742160,       0.000000/0.556178,       0.043565/2.493941,                 0.0/0.0,               0.02,
   17, model update,            31482.2,            31482.2,             5098.9,             550859,                  0,       0.025760/2.258233,      -0.085434/1.736679,      -0.000000/0.571839,       0.043249/2.485079,                 0.0/0.0,               0.02,
   18, model update,            31414.8,            31414.8,            4843.29,             552010,                  0,       0.036201/2.259680,       0.031928/1.736625,      -0.000000/0.557321,       0.043030/2.487678,                 0.0/0.0,               0.02,
