 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
    0, model update,            125.428,            125.428,            405.439,            1583.81,                  0,       0.002965/0.135467,       0.019020/0.108091,       0.000000/0.161249,       0.001608/0.133262,                 0.0/0.0,               0.02,
    1, model update,             70.382,             70.382,            182.894,            783.226,                  0,      -0.002173/0.094839,      -0.032697/0.075432,      -0.000000/0.108302,       0.001011/0.093714,                 0.0/0.0,               0.02,
    2, model update,            108.134,            108.134,            147.477,            737.178,                  0,       0.007238/0.092559,       0.073258/0.070837,       0.000000/0.097252,       0.000794/0.090919,                 0.0/0.0,              0.019,
    3, model update,            63.9877,            63.9877,            85.9746,            440.403,                  0,      -0.004573/0.071448,      -0.054825/0.056029,      -0.000000/0.074254,       0.000496/0.070275,                 0.0/0.0,              0.019,
    4, model update,            104.537,            104.537,              116.6,            596.386,                  0,       0.007386/0.083925,       0.076621/0.064562,       0.000000/0.086474,       0.000592/0.081778,                 0.0/0.0,            0.01805,
    5, model update,            46.8648,            46.8648,            56.7553,            310.484,                  0,      -0.004127/0.059819,      -0.048241/0.046620,       0.000000/0.060331,       0.000302/0.059006,                 0.0/0.0,            0.01805,
    6, model update,            110.635,            110.635,            105.092,            543.352,                  0,       0.007804/0.080806,       0.081974/0.062490,      -0.000000/0.082096,       0.000507/0.078058,                 0.0/0.0,          0.0171475,
    7, model update,            30.7476,            30.7476,             38.894,            224.207,                  0,      -0.003258/0.050405,      -0.037927/0.038915,       0.000000/0.049943,       0.000221/0.050143,                 0.0/0.0,          0.0171475,
    8, model update,            122.361,            122.361,            102.208,            526.517,                  0,       0.008383/0.080317,       0.088466/0.062646,       0.000000/0.080961,       0.000498/0.076839,                 0.0/0.0,          0.0162901,
    9, model update,            18.0949,            18.0949,            26.6479,            161.845,                  0,      -0.002227/0.042293,      -0.026457/0.032214,      -0.000000/0.041340,       0.000213/0.042602,                 0.0/0.0,          0.0162901,
   10, model update,            138.089,            138.089,            103.504,            528.432,                  0,       0.009074/0.081260,       0.095724/0.064017,       0.000000/0.081473,       0.000542/0.076979,                 0.0/0.0,          0.0154756,
   11, model update,            9.24228,            9.24228,            17.8177,            114.888,                  0,      -0.001071/0.035090,      -0.014073/0.026259,      -0.000000/0.033803,       0.000260/0.035893,                 0.0/0.0,          0.0154756,
   12, model update,            157.996,            157.996,            106.813,            538.149,                  0,       0.009899/0.082906,       0.103927/0.066122,       0.000000/0.082765,       0.000650/0.077682,                 0.0/0.0,          0.0147018,
   13, model update,            4.54401,            4.54401,            11.0975,            76.8431,                  0,       0.000244/0.028336,      -0.000480/0.020884,      -0.000000/0.026678,       0.000371/0.029353,                 0.0/0.0,          0.0147018,
   14, model update,            3.54483,            3.54483,            5.91079,            39.2933,                  0,       0.001338/0.020529,       0.009504/0.015814,      -0.000000/0.019470,       0.000619/0.020982,                 0.0/0.0,          0.0147018,
   15, model update,            143.224,            143.224,            96.2705,            481.242,                  0,      -0.009089/0.078581,      -0.098675/0.063385,      -0.000000/0.078575,      -0.000217/0.073462,                 0.0/0.0,          0.0139667,
   16, model update,            4.34195,            4.34195,            5.18731,            34.9882,                  0,      -0.001272/0.019619,      -0.013829/0.015024,       0.000000/0.018239,      -0.000028/0.019808,                 0.0/0.0,          0.0139667,
   17, model update,            95.2138,            95.2138,            64.5382,            313.605,                  0,       0.007593/0.063656,       0.080129/0.052183,       0.000000/0.064334,       0.000450/0.059301,                 0.0/0.0,          0.0132684,
   18, model update,            2.49985,            2.49985,             3.6277,            26.2587,                  0,      -0.000657/0.016756,      -0.008809/0.012747,       0.000000/0.015253,       0.000180/0.017159,                 0.0/0.0,          0.0132684,
   19, model update,            85.5563,            85.5563,            50.4347,            247.616,                  0,       0.007145/0.057267,       0.076885/0.048010,      -0.000000/0.056872,       0.000251/0.052695,                 0.0/0.0,           0.012605,
   20, model update,            4.08081,            4.08081,             5.3584,            32.1334,                  0,      -0.001111/0.018966,      -0.012839/0.015068,       0.000000/0.018538,       0.000064/0.018983,                 0.0/0.0,           0.012605,
   21, model update,            57.6593,            57.6593,            45.0121,            216.542,                  0,       0.005774/0.052327,       0.060513/0.043306,      -0.000000/0.053728,       0.000392/0.049277,                 0.0/0.0,          0.0119747,
   22, model update,            4.98239,            4.98239,            4.46593,            29.8929,                  0,      -0.001391/0.018429,      -0.016592/0.014254,       0.000000/0.016924,       0.000140/0.018309,                 0.0/0.0,          0.0119747,
   23, model update,            60.3937,            60.3937,             36.512,            184.857,                  0,       0.006038/0.049090,       0.064830/0.039962,      -0.000000/0.048390,       0.000228/0.045530,                 0.0/0.0,           0.011376,
   24, model update,            4.27483,            4.27483,            4.84522,            29.8263,                  0,      -0.001277/0.018344,      -0.014663/0.013983,       0.000000/0.017628,       0.000062/0.018289,                 0.0/0.0,           0.011376,
   25, model update,            48.9019,            48.9019,            34.8564,            171.496,                  0,       0.005419/0.046763,       0.057210/0.037727,      -0.000000/0.047280,       0.000319/0.043853,                 0.0/0.0,          0.0108072,
   26, model update,            3.89646,            3.89646,            3.83571,            25.8063,                  0,      -0.001214/0.017021,      -0.014448/0.012863,       0.000000/0.015684,       0.000119/0.017011,                 0.0/0.0,          0.0108072,
