 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
    0, model update,              36209,              36209,            3325.21,             619156,                  0,       0.015323/0.560481,       0.169483/1.857031,       0.000000/0.461790,       0.060351/2.634341,                 0.0/0.0,               0.02,
    1, model update,            34522.5,            34522.5,            3184.04,             591136,                  0,       0.014648/0.547282,       0.162017/1.813583,      -0.000000/0.451882,       0.059447/2.574031,                 0.0/0.0,               0.02,
    2, model update,            32908.6,            32908.6,            3047.59,             564295,                  0,       0.014085/0.534342,       0.155799/1.770893,       0.000000/0.442093,       0.058425/2.514906,                 0.0/0.0,               0.02,
    3, model update,            31343.5,            31343.5,            2917.24,             538248,                  0,       0.013534/0.521486,       0.149697/1.728476,       0.000000/0.432535,       0.057322/2.456172,                 0.0/0.0,               0.02,
    4, model update,            29826.5,            29826.5,            2792.69,             512993,                  0,       0.013001/0.508715,       0.143800/1.686318,      -0.000000/0.423201,       0.056237/2.397850,                 0.0/0.0,               0.02,
    5, model update,            28357.6,            28357.6,            2673.68,             488520,                  0,       0.012482/0.496035,       0.138064/1.644453,       0.000000/0.414086,       0.055199/2.339947,                 0.0/0.0,               0.02,
    6, model update,              26936,              26936,            2559.99,             464807,                  0,       0.011978/0.483447,       0.132493/1.602876,       0.000000/0.405186,       0.054217/2.282440,                 0.0/0.0,               0.02,
    7, model update,            25561.6,            25561.6,            2451.47,             441855,                  0,       0.011504/0.470955,       0.127248/1.561597,      -0.000000/0.396505,       0.053147/2.225367,                 0.0/0.0,               0.02,
    8, model update,            24235.3,            24235.3,            2348.03,             419691,                  0,       0.011019/0.458579,       0.121882/1.520709,      -0.000000/0.388050,       0.052127/2.168829,                 0.0/0.0,               0.02,
    9, model update,            22956.5,            22956.5,            2249.32,             398280,                  0,       0.010574/0.446320,       0.116961/1.480175,       0.000000/0.379805,       0.051229/2.112771,                 0.0/0.0,               0.02,
   10, model update,            22845.6,            22845.6,            2237.83,            46737.2,                  0,       0.010557/0.445240,       0.116769/1.476590,       0.000000/0.378833,      -0.000946/0.723964,                 0.0/0.0,               0.02,
   11, model update,            22834.5,            22834.5,            2237.04,            5351.02,                  0,       0.010540/0.445132,       0.116586/1.476241,       0.000000/0.378767,      -0.000362/0.244965,                 0.0/0.0,               0.02,
   12, model update,            22823.7,            22823.7,            2236.26,            5215.22,                  0,       0.010524/0.445028,       0.116407/1.475906,       0.000000/0.378700,      -0.000378/0.241836,                 0.0/0.0,               0.02,
   13, model update,            22813.4,            22813.4,            2235.49,            5084.09,                  0,       0.010508/0.444927,       0.116233/1.475583,       0.000000/0.378635,      -0.000394/0.238777,                 0.0/0.0,               0.02,
   14, model update,            22803.4,            22803.4,            2234.72,             4957.8,                  0,       0.010493/0.444831,       0.116062/1.475273,       0.000000/0.378571,      -0.000409/0.235792,                 0.0/0.0,               0.02,
   15, model update,            22793.9,            22793.9,            2233.97,            4836.31,                  0,       0.010478/0.444738,       0.115895/1.474975,       0.000000/0.378507,      -0.000422/0.232885,                 0.0/0.0,               0.02,
   16, model update,            22784.7,            22784.7,            2233.24,            4719.61,                  0,       0.010463/0.444648,       0.115733/1.474689,       0.000000/0.378445,      -0.000435/0.230058,                 0.0/0.0,               0.02,
