 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
    1,   relocation,            36017.5,            36017.5,            3037.39,             617359,                  0,       0.058234/2.386573,       0.150097/1.853744,      -0.000000/0.441352,       0.057689/2.630571,                 0.0/0.0,
    2,   relocation,            34334.4,            34334.4,            2894.56,             589336,                  0,       0.056908/2.331680,       0.143062/1.810192,      -0.000000/0.430851,       0.056799/2.570166,                 0.0/0.0,
    3,   relocation,            32723.4,            32723.4,             2754.4,             562497,                  0,       0.055569/2.277863,       0.137248/1.767403,      -0.000000/0.420289,       0.055748/2.510955,                 0.0/0.0,
    4,   relocation,              31161,              31161,            2620.38,             536446,                  0,       0.054188/2.224387,       0.131552/1.724877,      -0.000000/0.409937,       0.054630/2.452116,                 0.0/0.0,
    5,   relocation,            29646.9,            29646.9,            2492.04,             511187,                  0,       0.052831/2.171285,       0.126016/1.682624,      -0.000000/0.399772,       0.053523/2.393686,                 0.0/0.0,
    6,   relocation,            28181.6,            28181.6,            2369.22,             486716,                  0,       0.051495/2.118576,       0.120654/1.640679,      -0.000000/0.389796,       0.052424/2.335683,                 0.0/0.0,
    7,   relocation,            26763.8,            26763.8,            2251.64,             463015,                  0,       0.050218/2.066250,       0.115454/1.599031,      -0.000000/0.380001,       0.051381/2.278099,                 0.0/0.0,
    8,   relocation,            25392.7,            25392.7,             2139.3,             440077,                  0,       0.048932/2.014320,       0.110461/1.557675,      -0.000000/0.370400,       0.050303/2.220949,                 0.0/0.0,
    9,   relocation,              24069,              24069,             2032.1,             417912,                  0,       0.047598/1.962842,       0.105539/1.516674,      -0.000000/0.361001,       0.049156/2.164293,                 0.0/0.0,
   10,   relocation,            22792.3,            22792.3,            1929.75,             396496,                  0,       0.046440/1.911793,       0.100796/1.476032,      -0.000000/0.351791,       0.048213/2.108103,                 0.0/0.0,
   11,   relocation,            21561.6,            21561.6,            1832.09,             375832,                  0,       0.045216/1.861214,       0.096367/1.435742,      -0.000000/0.342775,       0.047149/2.052428,                 0.0/0.0,
   12,   relocation,            20375.9,            20375.9,            1739.42,             355890,                  0,       0.044022/1.811074,       0.091944/1.395822,      -0.000000/0.333993,       0.046123/1.997230,                 0.0/0.0,
   13,   relocation,            19234.8,            19234.8,            1651.55,             336675,                  0,       0.042671/1.761420,       0.087809/1.356275,      -0.000000/0.325447,       0.044862/1.942564,                 0.0/0.0,
   14,   relocation,            18137.3,            18137.3,            1568.04,             318157,                  0,       0.041639/1.712209,       0.083880/1.317102,      -0.000000/0.317113,       0.043987/1.888377,                 0.0/0.0,
   15,   relocation,            17082.6,            17082.6,            1488.64,             300349,                  0,       0.040343/1.663522,       0.079909/1.278328,       0.000000/0.308980,       0.042778/1.834766,                 0.0/0.0,
   16,   relocation,            16070.7,            16070.7,            1413.38,             283225,                  0,       0.039184/1.615328,       0.076020/1.239980,       0.000000/0.301067,       0.041734/1.781691,                 0.0/0.0,
   17,   relocation,              15101,              15101,            1342.15,             266798,                  0,       0.038105/1.567707,       0.072419/1.202065,      -0.000000/0.293383,       0.040761/1.729243,                 0.0/0.0,
   18,   relocation,            14172.6,            14172.6,            1274.12,             251025,                  0,       0.036820/1.520595,       0.068695/1.164615,      -0.000000/0.285851,       0.039537/1.677350,                 0.0/0.0,
   19,   relocation,            13285.1,            13285.1,            1209.41,             235927,                  0,       0.035770/1.474087,       0.064922/1.127652,      -0.000000/0.278498,       0.038621/1.626117,                 0.0/0.0,
   20,   relocation,            12437.7,            12437.7,            1147.98,             221476,                  0,       0.034531/1.428167,       0.061655/1.091163,       0.000000/0.271333,       0.037402/1.575530,                 0.0/0.0,
   21,   relocation,            11629.7,            11629.7,            1089.83,             207663,                  0,       0.033459/1.382854,       0.058108/1.055210,       0.000000/0.264371,       0.036431/1.525602,                 0.0/0.0,
